timestamp,model_name,preset,reviews_subset,sequence_length,batch_size,epochs,learning_rate,layer_architecture,callback_strategy,test_loss,test_accuracy,negative_precision,negative_recall,negative_f1_score,negative_support,positive_precision,positive_recall,positive_f1_score,positive_support,macro_avg_precision,macro_avg_recall,macro_avg_f1_score,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1_score,true_negative,false_positive,false_negative,true_positive,duration
2025-12-09 13:31:31.656227,bert_small_en_uncased-arch1-lr2e-05-call2-on-en-50000,bert_small_en_uncased,50000,128,32,10,2e-05,1,2,0.3114266991615295,0.8766000270843506,0.8657353511835467,0.8916866506794564,0.8785193935814136,2502.0,0.8881551795295088,0.8614891913530824,0.8746189798821378,2498.0,0.8769452653565277,0.8765879210162695,0.8765691867317758,0.8769362974251893,0.8766,0.8765707468972554,2231,271,346,2152,0:04:10
2025-12-09 13:34:28.764270,bert_small_en_uncased-arch1-lr3e-05-call0-on-en-50000,bert_small_en_uncased,50000,128,32,10,3e-05,1,0,0.311184287071228,0.8799999952316284,0.8709048361934477,0.8924860111910472,0.8815633636004737,2502.0,0.8895730706075534,0.8674939951961569,0.8783948115119579,2498.0,0.8802389534005006,0.8799900031936021,0.8799790875562158,0.8802314861067349,0.88,0.8799803549770512,2233,269,331,2167,0:02:55
2025-12-09 13:38:07.444963,bert_small_en_uncased-arch1-lr3e-05-call1-on-en-50000,bert_small_en_uncased,50000,128,32,10,3e-05,1,1,0.3170832991600036,0.8773999810218811,0.8810004033884631,0.8729016786570744,0.8769323429030316,2502.0,0.8738595795319317,0.8819055244195356,0.8778641163578402,2498.0,0.8774299914601974,0.877403601538305,0.8773982296304359,0.8774328477897401,0.8774,0.877397856921054,2184,318,295,2203,0:03:37
2025-12-09 13:42:25.023306,bert_small_en_uncased-arch1-lr3e-05-call2-on-en-50000,bert_small_en_uncased,50000,128,32,10,3e-05,1,2,0.3135716021060943,0.8802000284194946,0.8765334388603087,0.8852917665867306,0.8808908331676277,2502.0,0.883946623534169,0.8751000800640513,0.8795011064172199,2498.0,0.8802400311972388,0.8801959233253909,0.8801959697924238,0.8802370659233693,0.8802,0.8801965256831239,2215,287,312,2186,0:04:15
2025-12-09 13:45:26.306100,bert_small_en_uncased-arch1-lr5e-05-call0-on-en-50000,bert_small_en_uncased,50000,128,32,10,5e-05,1,0,0.3214505314826965,0.8773999810218811,0.8810004033884631,0.8729016786570744,0.8769323429030316,2502.0,0.8738595795319317,0.8819055244195356,0.8778641163578402,2498.0,0.8774299914601974,0.877403601538305,0.8773982296304359,0.8774328477897401,0.8774,0.877397856921054,2184,318,295,2203,0:02:59
2025-12-09 13:49:06.994057,bert_small_en_uncased-arch1-lr5e-05-call1-on-en-50000,bert_small_en_uncased,50000,128,32,10,5e-05,1,1,0.3104993999004364,0.8826000094413757,0.8813221823974512,0.8844924060751399,0.8829044484340715,2502.0,0.8838891120932101,0.8807045636509208,0.8822939643071988,2498.0,0.8826056472453306,0.8825984848630304,0.8825992063706352,0.8826046204734522,0.8826,0.8825994505642859,2213,289,298,2200,0:03:39
2025-12-09 13:53:25.038402,bert_small_en_uncased-arch1-lr5e-05-call2-on-en-50000,bert_small_en_uncased,50000,128,32,10,5e-05,1,2,0.3084285259246826,0.881600022315979,0.877172195892575,0.8876898481215028,0.8823996821613032,2502.0,0.8861426256077796,0.8755004003202562,0.8807893677003624,2498.0,0.8816574107501773,0.8815951242208795,0.8815945249308328,0.8816538225782912,0.8816,0.8815951690566172,2221,281,311,2187,0:04:16
2025-12-09 13:56:21.413739,bert_small_en_uncased-arch2-lr2e-05-call0-on-en-50000,bert_small_en_uncased,50000,128,32,10,2e-05,2,0,0.3271419703960418,0.8726000189781189,0.8528187665531592,0.9008792965627498,0.8761904761904762,2502.0,0.8947815019092066,0.844275420336269,0.8687950566426365,2498.0,0.873800134231183,0.8725773584495093,0.8724927664165563,0.8737833491370406,0.8726,0.8724957245843754,2254,248,389,2109,0:02:55
2025-12-09 13:59:58.930006,bert_small_en_uncased-arch2-lr2e-05-call1-on-en-50000,bert_small_en_uncased,50000,128,32,10,2e-05,2,1,0.3218147754669189,0.8759999871253967,0.8624807395993837,0.8948840927258194,0.8783836798744605,2502.0,0.8905990016638935,0.8570856685348278,0.8735210118319053,2498.0,0.8765398706316385,0.8759848806303236,0.8759523458531829,0.8765286233268129,0.876,0.8759542909203999,2239,263,357,2141,0:03:36
2025-12-09 17:25:36.198855,bert_small_en_uncased-arch2-lr2e-05-call1-on-en-50000,bert_small_en_uncased,50000,128,32,10,2e-05,2,1,0.3255251348018646,0.871999979019165,0.8481675392670157,0.9064748201438848,0.8763523956723338,2502.0,0.8993981083404987,0.8374699759807847,0.867330016583748,2498.0,0.8737828238037573,0.8719723980623348,0.871841206128041,0.8737623315761277,0.872,0.8718448150796763,2268,234,406,2092,0:03:43
2025-12-09 17:30:26.893728,bert_small_en_uncased-arch2-lr2e-05-call2-on-en-50000,bert_small_en_uncased,50000,128,32,10,2e-05,2,2,0.3328310251235962,0.8781999945640564,0.8742586002372479,0.8836930455635491,0.8789505068574835,2502.0,0.8822339133953865,0.8726981585268214,0.877440128798551,2498.0,0.8782462568163172,0.8781956020451853,0.8781953178280173,0.8782430666910539,0.8782,0.878195921979241,2211,291,318,2180,0:04:49
2025-12-09 17:33:26.875511,bert_small_en_uncased-arch2-lr3e-05-call0-on-en-50000,bert_small_en_uncased,50000,128,32,10,3e-05,2,0,0.3078595995903015,0.8799999952316284,0.8761867088607594,0.8852917665867306,0.8807157057654076,2502.0,0.8838996763754046,0.8746997598078463,0.8792756539235412,2498.0,0.8800431926180821,0.8799957631972884,0.8799956798444744,0.8800401074310761,0.88,0.879996255865211,2215,287,313,2185,0:02:59
2025-12-09 17:37:04.716348,bert_small_en_uncased-arch2-lr3e-05-call1-on-en-50000,bert_small_en_uncased,50000,128,32,10,3e-05,2,1,0.319767028093338,0.8762000203132629,0.8661999222092571,0.890087929656275,0.8779814705302582,2502.0,0.8867846850555784,0.8622898318654924,0.874365739801096,2498.0,0.8764923036324177,0.8761888807608837,0.8761736051656771,0.8764840697272792,0.8762,0.8761750514579688,2227,275,344,2154,0:03:37
2025-12-09 17:41:21.061128,bert_small_en_uncased-arch2-lr3e-05-call2-on-en-50000,bert_small_en_uncased,50000,128,32,10,3e-05,2,2,0.3179239630699157,0.8784000277519226,0.8705007824726134,0.8892885691446842,0.8797943851324634,2502.0,0.8866612111292962,0.8674939951961569,0.876972885471469,2498.0,0.8785809968009548,0.8783912821704205,0.8783836353019663,0.878574532629492,0.8784,0.8783847639018306,2225,277,331,2167,0:04:15
2025-12-09 17:44:21.128748,bert_small_en_uncased-arch2-lr5e-05-call0-on-en-50000,bert_small_en_uncased,50000,128,32,10,5e-05,2,0,0.3184121251106262,0.8718000054359436,0.867061143984221,0.8784972022382095,0.8727417113361128,2502.0,0.8766734279918864,0.8650920736589272,0.8708442474309893,2498.0,0.8718672859880536,0.8717946379485684,0.871792979383551,0.8718634410744506,0.8718,0.8717937383691131,2198,304,337,2161,0:02:59
2025-12-09 17:48:00.509953,bert_small_en_uncased-arch2-lr5e-05-call1-on-en-50000,bert_small_en_uncased,50000,128,32,10,5e-05,2,1,0.3354958891868591,0.8723999857902527,0.8675078864353313,0.8792965627498002,0.8733624454148472,2502.0,0.877435064935065,0.8654923939151321,0.8714228133817009,2498.0,0.8724714756851981,0.8723944783324662,0.872392629398274,0.8724675048137982,0.8724,0.8723934052510873,2200,302,336,2162,0:03:37
2025-12-09 17:52:18.726457,bert_small_en_uncased-arch2-lr5e-05-call2-on-en-50000,bert_small_en_uncased,50000,128,32,10,5e-05,2,2,0.33090344071388245,0.8787999749183655,0.875594294770206,0.8832933653077538,0.8794269797055312,2502.0,0.8820678513731826,0.8742994395516414,0.8781664656212304,2498.0,0.8788310730716943,0.8787964024296976,0.8787967226633808,0.8788284836490531,0.8788,0.8787972268690144,2210,292,314,2184,0:04:17
